Message,Label
Your mailbox exceeded quota. Follow https://safe-verify.org/reset?id=13418 to avoid losing emails.,Attack
"Quick FYI: the server maintenance is tomorrow night, expect brief downtime.",No Attack
"I found something alarming about your account — please confirm your banking details at https://secure-login.net/verify?id=52487.

Thanks, Team",Attack
"Important: Please, I'm stuck and really need your password to resolve an urgent issue with Notion. I promise it's quick.",Attack
Thanks for your help earlier — the fix worked perfectly.,No Attack
Your mailbox exceeded quota. Follow https://notion.so/login?id=16725 to avoid losing emails.,Attack
Reminder: the team meeting is at 10 AM. Agenda: confidential roadmap status and next steps.,No Attack
Would you be able to share the meeting minutes from last week?,No Attack
Happy Birthday Morgan! Hope you have a great day.,No Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
Your mailbox exceeded quota. Follow https://notion.so/claim?id=33644 to avoid losing emails.,Attack
Great job on the presentation — the client loved it. Can you send the slides?,No Attack
Urgent: Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://acme-corp.com/claim?id=67272,Attack
"Hey, it's Skyler Saxena from Stellar Inc. I need your help urgently with the sales pipeline — can you share your login so I can finish this now?",Attack
Would you be able to share the meeting minutes from last week?,No Attack
"Can you review this draft when you have a moment? No rush, just want your feedback.",No Attack
Thanks again for covering my shift — I owe you one.,No Attack
"Important: Please, I'm stuck and really need your password to resolve an urgent issue with Acme Corp. I promise it's quick.",Attack
"Urgent: Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
You've been pre-approved for an exclusive offer. I need your details to process it at https://safe-verify.org/verify?id=27984.,Attack
"I'm impressed with your recent work — would you like to present it to the team?

Best,
Vikram",No Attack
Would you be able to share the meeting minutes from last week? Thanks in advance.,No Attack
"Hey, it's Morgan Fernando from Innotech. I need your help urgently with the confidential roadmap — can you share your login so I can finish this now?",Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now. Please advise.",Attack
"There was a policy change affecting your account. Please confirm your SSN and DOB at https://notion.so/update?id=45227

Thanks, Skyler",Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://trust-pay.io/secure?id=56255 and provide your details to claim it.,Attack
"Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?

Thanks, Rahul",Attack
"Hey, it's Jamie Brown from Innotech. I need your help urgently with the product spec — can you share your login so I can finish this now?",Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
"Please read: Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
Immediate action required: confirm your credentials at https://trust-pay.io/update?id=95332 to prevent account suspension.,Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
"Can you review this draft when you have a moment? No rush, just want your feedback.",No Attack
"Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?

Thanks, Team",Attack
"Important: I hate to bother you, but I'm really stressed and need you to give me access to the server now.

Thanks, Drew",Attack
I saw a weird transaction on your account. Confirm your payment details here: https://safe-verify.org/update?id=98643,Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
I've been assigned to audit the research notes; share the files and I'll mark them confidential.,Attack
We need to verify your identity before payroll — confirm details at https://safe-verify.org/claim?id=28569,Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://trust-pay.io/login?id=74414,Attack
I'm impressed with your recent work — would you like to present it to the team?,No Attack
FYI: we've updated the internal wiki with the new onboarding steps.,No Attack
Let's schedule 1:1 next week to discuss career goals and development.,No Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.

Thanks, Team",Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"Thanks for the great work on the financial forecast. Let's celebrate at lunch on Friday.

Best,
Arjun Let me know if that works.",No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"Hey Jordan, just checking in — are you free for a quick sync on the financial forecast tomorrow?",No Attack
"Hey, it's Cameron Iyer from Innotech. I need your help urgently with the confidential roadmap — can you share your login so I can finish this now?",Attack
I saw a weird transaction on your account. Confirm your payment details here: https://notion.so/reset?id=63645,Attack
Appreciate your input on the doc — minor edits only.,No Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://notion.so/reset?id=17553,Attack
I'm impressed with your recent work — would you like to present it to the team?,No Attack
"Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
"I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://safe-verify.org/secure?id=99051

Thanks, Admin",Attack
I've been assigned to audit the customer list; share the files and I'll mark them confidential.,Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://example.com/update?id=83133,Attack
Would you be able to share the meeting minutes from last week?,No Attack
Reminder: the team meeting is at 10 AM. Agenda: customer list status and next steps. Thanks in advance.,No Attack
"Quick FYI: the server maintenance is tomorrow night, expect brief downtime.",No Attack
Appreciate your input on the doc — minor edits only.,No Attack
Important: There was a policy change affecting your account. Please confirm your SSN and DOB at https://trust-pay.io/verify?id=71621,Attack
"I saw a weird transaction on your account. Confirm your payment details here: https://notion.so/update?id=34352

Thanks, Team",Attack
Thanks for the great work on the deployment script. Let's celebrate at lunch on Friday.,No Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://secure-login.net/auth?id=68838 and provide your details to claim it.,Attack
You've been pre-approved for an exclusive offer. I need your details to process it at https://acme-corp.com/offer?id=57139.,Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://safe-verify.org/secure?id=75214 and provide your details to claim it.,Attack
"Please read: I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
"Your account has been compromised. Reset your password now at https://safe-verify.org/auth?id=67984 or you'll lose access.

Thanks, Priya",Attack
Can you help me test the staging build later today? I need another pair of eyes. Can you confirm?,No Attack
You've been pre-approved for an exclusive offer. I need your details to process it at https://example.com/claim?id=73699.,Attack
I'd love your feedback on the new template when you have time.,No Attack
We need to verify your identity before payroll — confirm details at https://example.com/claim?id=85255 Ping me if you have questions.,Attack
"Hey, it's Pat Roy from Astra Systems. I need your help urgently with the deployment script — can you share your login so I can finish this now?",Attack
"Hey, it's Arjun Raghavan from BrightCo. I need your help urgently with the security audit — can you share your login so I can finish this now?",Attack
I saw a weird transaction on your account. Confirm your payment details here: https://example.com/auth?id=93084,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
I found something alarming about your account — please confirm your banking details at https://acme-corp.com/docs?id=30934.,Attack
Immediate action required: confirm your credentials at https://notion.so/docs?id=33480 to prevent account suspension.,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
Immediate action required: confirm your credentials at https://safe-verify.org/verify?id=75191 to prevent account suspension.,Attack
Important: Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest...,Attack
Would you be able to share the meeting minutes from last week?,No Attack
Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest...,Attack
Immediate action required: confirm your credentials at https://acme-corp.com/login?id=56544 to prevent account suspension.,Attack
Thanks again for covering my shift — I owe you one. Can you confirm?,No Attack
I saw a weird transaction on your account. Confirm your payment details here: https://safe-verify.org/auth?id=76952 Please advise.,Attack
Your mailbox exceeded quota. Follow https://safe-verify.org/verify?id=55032 to avoid losing emails. Please advise.,Attack
The boss is furious about the budget report. Can you send me the latest files so I can fix this before the meeting?,Attack
"Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest.

Thanks, Admin",Attack
"Reminder: the team meeting is at 10 AM. Agenda: product spec status and next steps.

Best,
Drew",No Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
The boss is furious about the research notes. Can you send me the latest files so I can fix this before the meeting?,Attack
"Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
Let's schedule 1:1 next week to discuss career goals and development.,No Attack
Please read: Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest.,Attack
The boss is furious about the financial forecast. Can you send me the latest files so I can fix this before the meeting?,Attack
"Please read: I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
Reminder: the team meeting is at 10 AM. Agenda: research notes status and next steps. Please advise.,No Attack
Important: Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest.,Attack
"I saw a weird transaction on your account... Confirm your payment details here: https://trust-pay...io/auth?id=34551

Thanks, Team",Attack
"FYI: we've updated the internal wiki with the new onboarding steps.

Best,
Alex",No Attack
You've been pre-approved for an exclusive offer. I need your details to process it at https://trust-pay.io/confirm?id=17850.,Attack
Urgent: We need to verify your identity before payroll — confirm details at https://acme-corp...com/update?id=64254,Attack
"Quick FYI: the server maintenance is tomorrow night, expect brief downtime.

Best,
Avery",No Attack
"Can you help me test the staging build later today? I need another pair of eyes.

Best,
Lee",No Attack
Thanks for the great work on the research notes. Let's celebrate at lunch on Friday.,No Attack
Great job on the presentation — the client loved it. Can you send the slides?,No Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://safe-verify.org/auth?id=12560,Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
Great job on the presentation — the client loved it. Can you send the slides? Please advise.,No Attack
Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest.,Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
"Hey, it's Jordan Bose from Innotech. I need your help urgently with the Q3 deliverables — can you share your login so I can finish this now?",Attack
Immediate action required: confirm your credentials at https://example.com/update?id=93115 to prevent account suspension.,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
"Your mailbox exceeded quota. Follow https://secure-login.net/update?id=15399 to avoid losing emails.

Thanks, Casey",Attack
Thanks for your help earlier — the fix worked perfectly.,No Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://secure-login.net/secure?id=88636,Attack
"Appreciate your input on the doc — minor edits only.

Best,
Skyler",No Attack
I'm impressed with your recent work — would you like to present it to the team?,No Attack
Great job on the presentation — the client loved it. Can you send the slides?,No Attack
I saw a weird transaction on your account. Confirm your payment details here: https://secure-login.net/confirm?id=51777,Attack
"Hey Robin, just checking in — are you free for a quick sync on the deployment script tomorrow?

Best,
Vikram",No Attack
Great job on the presentation — the client loved it. Can you send the slides?,No Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
We need to verify your identity before payroll — confirm details at https://example.com/confirm?id=39939,Attack
"Happy Birthday Avery! Hope you have a great day.

Best,
Jordan",No Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
"There was a policy change affecting your account. Please confirm your SSN and DOB at https://trust-pay.io/reset?id=48800

Thanks, Taylor",Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://acme-corp.com/login?id=33597,Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://acme-corp.com/secure?id=91233 and provide your details to claim it.,Attack
Immediate action required: confirm your credentials at https://secure-login.net/offer?id=45041 to prevent account suspension. Appreciate your help.,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
I saw a weird transaction on your account. Confirm your payment details here: https://notion.so/update?id=93507,Attack
Reminder: the team meeting is at 10 AM. Agenda: deployment script status and next steps.,No Attack
Your account has been compromised. Reset your password now at https://safe-verify.org/update?id=27389 or you'll lose access.,Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
Thanks again for covering my shift — I owe you one.,No Attack
The boss is furious about the research notes. Can you send me the latest files so I can fix this before the meeting?,Attack
Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest.,Attack
Your mailbox exceeded quota... Follow https://notion...so/login?id=77603 to avoid losing emails...,Attack
Urgent: We need to verify your identity before payroll — confirm details at https://acme-corp.com/update?id=94659,Attack
FYI: we've updated the internal wiki with the new onboarding steps.,No Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://notion.so/claim?id=51553,Attack
I found something alarming about your account — please confirm your banking details at https://trust-pay.io/claim?id=24022.,Attack
Thanks for your help earlier — the fix worked perfectly.,No Attack
Important: I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://trust-pay.io/claim?id=17051,Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
"Thanks for the great work on the Q3 deliverables. Let's celebrate at lunch on Friday.

Best,
Priya Appreciate it.",No Attack
Important: Immediate action required: confirm your credentials at https://safe-verify.org/docs?id=14082 to prevent account suspension.,Attack
Thanks for your help earlier — the fix worked perfectly.,No Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now...",Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
Can you help me test the staging build later today? I need another pair of eyes.,No Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
Please find attached the notes from today's call. Let me know if I missed anything. Can you confirm?,No Attack
The boss is furious about the research notes. Can you send me the latest files so I can fix this before the meeting?,Attack
Would you be able to share the meeting minutes from last week?,No Attack
Your mailbox exceeded quota. Follow https://notion.so/verify?id=43330 to avoid losing emails.,Attack
"Please, I'm stuck and really need your password to resolve an urgent issue with Notion. I promise it's quick. Thanks in advance.",Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
I'm impressed with your recent work — would you like to present it to the team?,No Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
"I found something alarming about your account — please confirm your banking details at https://trust-pay.io/secure?id=26718.

Thanks, Admin",Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
"Can you review this draft when you have a moment? No rush, just want your feedback.",No Attack
Thanks for the great work on the confidential roadmap. Let's celebrate at lunch on Friday.,No Attack
I've been assigned to audit the confidential roadmap; share the files and I'll mark them confidential.,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
Appreciate your input on the doc — minor edits only.,No Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately. Let me know if that works.",Attack
Can you help me test the staging build later today? I need another pair of eyes.,No Attack
Immediate action required: confirm your credentials at https://secure-login.net/reset?id=30021 to prevent account suspension.,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
The boss is furious about the customer list. Can you send me the latest files so I can fix this before the meeting?,Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Let's schedule 1:1 next week to discuss career goals and development.,No Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
Thanks again for covering my shift — I owe you one.,No Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://secure-login.net/update?id=38940,Attack
Thanks for the great work on the sales pipeline. Let's celebrate at lunch on Friday.,No Attack
I've been assigned to audit the research notes; share the files and I'll mark them confidential.,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://safe-verify.org/claim?id=60026 and provide your details to claim it.,Attack
"Hey Robin, just checking in — are you free for a quick sync on the confidential roadmap tomorrow?",No Attack
Thanks for your help earlier — the fix worked perfectly.,No Attack
I found something alarming about your account — please confirm your banking details at https://example.com/claim?id=10659.,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://acme-corp.com/login?id=68893,Attack
You've been pre-approved for an exclusive offer. I need your details to process it at https://safe-verify.org/docs?id=14159.,Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"Please read: I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.

Thanks, Team",Attack
Can you help me test the staging build later today? I need another pair of eyes. Please advise.,No Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
"Please read: Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
Immediate action required: confirm your credentials at https://safe-verify.org/offer?id=47056 to prevent account suspension.,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access. Let me know if that works.,Attack
"You've been pre-approved for an exclusive offer. I need your details to process it at https://example.com/docs?id=51224.

Thanks, Team",Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
"Hey, it's Riley Davis from Nimbus Labs. I need your help urgently with the Q3 deliverables — can you share your login so I can finish this now?",Attack
Would you be able to share the meeting minutes from last week?,No Attack
"Would you be able to share the meeting minutes from last week?

Best,
Isha",No Attack
"Quick FYI: the server maintenance is tomorrow night, expect brief downtime.",No Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"I saw a weird transaction on your account. Confirm your payment details here: https://safe-verify.org/login?id=24168

Thanks, Team",Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
We need to verify your identity before payroll — confirm details at https://safe-verify.org/claim?id=47450,Attack
"I can't believe what happened to your colleague! You must be devastated... Can we chat? I need some information about your access...

Thanks, Team",Attack
"Can you review this draft when you have a moment? No rush, just want your feedback.",No Attack
Your mailbox exceeded quota. Follow https://secure-login.net/verify?id=80575 to avoid losing emails.,Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://trust-pay.io/docs?id=52898 and provide your details to claim it.,Attack
Important: I've been assigned to audit the security audit; share the files and I'll mark them confidential.,Attack
Thanks again for covering my shift — I owe you one.,No Attack
Thanks for the great work on the research notes. Let's celebrate at lunch on Friday.,No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"Important: I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
Urgent: I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Reminder: the team meeting is at 10 AM. Agenda: deployment script status and next steps.,No Attack
FYI: we've updated the internal wiki with the new onboarding steps.,No Attack
Your mailbox exceeded quota. Follow https://notion.so/docs?id=73999 to avoid losing emails.,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Immediate action required: confirm your credentials at https://example.com/docs?id=71462 to prevent account suspension. Let me know if that works.,Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
I saw a weird transaction on your account. Confirm your payment details here: https://secure-login.net/reset?id=78302,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
I've been assigned to audit the sales pipeline; share the files and I'll mark them confidential.,Attack
I saw a weird transaction on your account. Confirm your payment details here: https://trust-pay.io/confirm?id=20518 Let me know if that works.,Attack
FYI: we've updated the internal wiki with the new onboarding steps.,No Attack
"I saw a weird transaction on your account. Confirm your payment details here: https://acme-corp.com/reset?id=36651

Thanks, Team",Attack
"There was a policy change affecting your account. Please confirm your SSN and DOB at https://secure-login.net/login?id=64450

Thanks, Team Please advise.",Attack
FYI: we've updated the internal wiki with the new onboarding steps.,No Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://notion.so/claim?id=73942 Appreciate your help.,Attack
I saw a weird transaction on your account. Confirm your payment details here: https://trust-pay.io/update?id=70666,Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://secure-login.net/auth?id=84732,Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://safe-verify.org/update?id=39552,Attack
Appreciate your input on the doc — minor edits only.,No Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://secure-login.net/verify?id=87550,Attack
You've been pre-approved for an exclusive offer. I need your details to process it at https://notion.so/secure?id=50562.,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Huge congratulations! You've been selected for an exclusive reward. Click https://safe-verify.org/offer?id=86225 and provide your details to claim it.,Attack
"Please, I'm stuck and really need your password to resolve an urgent issue with Stellar Inc. I promise it's quick.",Attack
"Can you review this draft when you have a moment? No rush, just want your feedback.",No Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
Urgent: You've been pre-approved for an exclusive offer. I need your details to process it at https://trust-pay.io/secure?id=67377.,Attack
Would you be able to share the meeting minutes from last week?,No Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
Would you be able to share the meeting minutes from last week?,No Attack
"Please, I'm stuck and really need your password to resolve an urgent issue with Notion. I promise it's quick. Ping me if you have questions.",Attack
I've been assigned to audit the confidential roadmap; share the files and I'll mark them confidential...,Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
FYI: we've updated the internal wiki with the new onboarding steps.,No Attack
Can you help me test the staging build later today? I need another pair of eyes. Let me know if that works.,No Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
We need to verify your identity before payroll — confirm details at https://example...com/verify?id=62879,Attack
"I heard there may be layoffs. Are you okay? If so, share your personal email so I can tell you privately.",Attack
Can you do me a favour? This is super important to me — send over the client list and I'll handle the rest.,Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.,Attack
Your recent project was outstanding! Could you send me the full report (including attachments)?,Attack
I found something alarming about your account — please confirm your banking details at https://notion.so/claim?id=43550.,Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
I saw a weird transaction on your account... Confirm your payment details here: https://safe-verify...org/reset?id=97993,Attack
"Hey, it's Sam Thomas from Globex. I need your help urgently with the confidential roadmap — can you share your login so I can finish this now?",Attack
Urgent: You've been pre-approved for an exclusive offer. I need your details to process it at https://trust-pay.io/offer?id=20814.,Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://safe-verify.org/confirm?id=57069,Attack
We need to verify your identity before payroll — confirm details at https://example.com/docs?id=48462 Thanks in advance.,Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://acme-corp.com/reset?id=62149,Attack
We need to verify your identity before payroll — confirm details at https://safe-verify.org/docs?id=94108,Attack
Appreciate your input on the doc — minor edits only.,No Attack
"I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
I'm impressed with your recent work — would you like to present it to the team?,No Attack
"Quick FYI: the server maintenance is tomorrow night, expect brief downtime.",No Attack
"Thanks for your help earlier — the fix worked perfectly.

Best,
Priya",No Attack
I've been assigned to audit the research notes; share the files and I'll mark them confidential.,Attack
"Let's schedule 1:1 next week to discuss career goals and development.

Best,
Anita",No Attack
"Can we postpone the meeting to Thursday? I have a conflict.

Best,
Vikram",No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"We need to verify your identity before payroll — confirm details at https://acme-corp.com/confirm?id=88250

Thanks, Team",Attack
Would you be able to share the meeting minutes from last week?,No Attack
Your mailbox exceeded quota. Follow https://trust-pay.io/confirm?id=92603 to avoid losing emails.,Attack
Please read: I found something alarming about your account — please confirm your banking details at https://safe-verify.org/auth?id=59816.,Attack
The boss is furious about the sales pipeline. Can you send me the latest files so I can fix this before the meeting?,Attack
I've been assigned to audit the deployment script; share the files and I'll mark them confidential.,Attack
Reminder: the team meeting is at 10 AM. Agenda: sales pipeline status and next steps.,No Attack
"Can you review this draft when you have a moment? No rush, just want your feedback.",No Attack
Your mailbox exceeded quota. Follow https://notion.so/claim?id=94670 to avoid losing emails.,Attack
I'd love your feedback on the new template when you have time.,No Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
Your recent project was outstanding! Could you send me the full report (including attachments)? Can you confirm?,Attack
"Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
Immediate action required: confirm your credentials at https://trust-pay.io/verify?id=57749 to prevent account suspension.,Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://trust-pay.io/auth?id=65448,Attack
Reminder: the team meeting is at 10 AM. Agenda: security audit status and next steps.,No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"Urgent: I hate to bother you, but I'm really stressed and need you to give me access to the server now.",Attack
Reminder: the team meeting is at 10 AM. Agenda: research notes status and next steps.,No Attack
